17	43000000	0.79
17	43001000	0.515
17	43002000	0.278
17	43003000	0.806
17	43004000	0.918
17	43005000	1.0
17	43006000	0.683
17	43007000	0.803
17	43008000	1.0
17	43009000	1.0
17	43010000	0.816
17	43011000	0.842
17	43012000	1.0
17	43013000	0.706
17	43014000	0.015
17	43015000	0.0
17	43016000	0.0
17	43017000	0.227
17	43018000	0.465
17	43019000	0.79
17	43020000	0.253
17	43021000	0.0
17	43022000	0.0
17	43023000	0.307
17	43024000	0.105
17	43025000	0.873
17	43026000	0.55
17	43027000	0.397
17	43028000	0.0
17	43029000	0.191
17	43030000	0.256
17	43031000	0.247
17	43032000	0.573
17	43033000	0.777
17	43034000	0.586
17	43035000	0.53
17	43036000	0.24
17	43037000	0.679
17	43038000	0.572
17	43039000	0.304
17	43040000	0.615
17	43041000	0.868
17	43042000	0.187
17	43043000	1.0
17	43044000	0.862
17	43045000	0.145
17	43046000	1.0
17	43047000	0.739
17	43048000	0.566
17	43049000	0.644
17	43050000	0.091
17	43051000	0.123
17	43052000	0.346
17	43053000	0.839
17	43054000	0.668
17	43055000	1.0
17	43056000	0.786
17	43057000	0.878
17	43058000	0.818
17	43059000	0.496
17	43060000	0.229
17	43061000	0.268
17	43062000	0.0
17	43063000	0.069
17	43064000	0.258
17	43065000	0.909
17	43066000	0.398
17	43067000	0.967
17	43068000	0.375
17	43069000	0.657
17	43070000	1.0
17	43071000	0.847
17	43072000	0.577
17	43073000	0.892
17	43074000	0.333
17	43075000	0.828
17	43076000	0.361
17	43077000	0.129
17	43078000	1.0
17	43079000	0.245
17	43080000	0.425
17	43081000	0.668
17	43082000	0.175
17	43083000	0.468
17	43084000	0.434
17	43085000	0.353
17	43086000	0.534
17	43087000	0.975
17	43088000	0.231
17	43089000	0.022
17	43090000	0.86
17	43091000	0.224
17	43092000	0.03
17	43093000	0.791
17	43094000	0.411
17	43095000	0.816
17	43096000	0.334
17	43097000	1.0
17	43098000	0.869
17	43099000	0.9
17	43100000	0.731
17	43101000	0.498
17	43102000	0.638
17	43103000	0.062
17	43104000	0.722
17	43105000	0.071
17	43106000	0.624
17	43107000	0.907
17	43108000	0.736
17	43109000	0.871
17	43110000	0.495
17	43111000	0.657
17	43112000	0.613
17	43113000	0.237
17	43114000	0.628
17	43115000	0.175
17	43116000	0.694
17	43117000	0.336
17	43118000	0.298
17	43119000	0.519
17	43120000	0.528
17	43121000	0.114
17	43122000	0.149
17	43123000	0.0
17	43124000	0.101
17	43125000	0.012
17	43126000	0.003
17	43127000	0.287
17	43128000	0.464
17	43129000	0.0
17	43130000	0.0
17	43131000	0.276
17	43132000	0.724
17	43133000	0.39
17	43134000	0.034
17	43135000	0.005
17	43136000	0.426
17	43137000	0.158
17	43138000	1.0
17	43139000	0.886
17	43140000	0.238
17	43141000	0.288
17	43142000	0.213
17	43143000	0.322
17	43144000	0.646
17	43145000	0.677
17	43146000	0.06
17	43147000	0.532
17	43148000	0.511
17	43149000	0.148
17	43150000	0.268
17	43151000	0.578
17	43152000	0.3
17	43153000	0.307
17	43154000	0.612
17	43155000	0.827
17	43156000	0.184
17	43157000	0.014
17	43158000	0.575
17	43159000	0.662
17	43160000	0.365
17	43161000	0.273
17	43162000	0.0
17	43163000	0.284
17	43164000	0.681
17	43165000	0.704
17	43166000	0.545
17	43167000	0.26
17	43168000	0.631
17	43169000	0.355
17	43170000	0.881
17	43171000	0.579
17	43172000	0.02
17	43173000	0.844
17	43174000	0.869
17	43175000	0.82
17	43176000	0.738
17	43177000	0.456
17	43178000	0.0
17	43179000	0.888
17	43180000	1.0
17	43181000	1.0
17	43182000	1.0
17	43183000	0.93
17	43184000	1.0
17	43185000	1.0
17	43186000	1.0
17	43187000	0.244
17	43188000	0.639
17	43189000	0.684
17	43190000	0.976
17	43191000	0.991
17	43192000	0.697
17	43193000	0.899
17	43194000	0.408
